domain,url_length,url_shortserv,url_@_present,url_spec_char_count,sec_words_present,digit_count,http_count,url_dot_count,dom_hyphen_count,ip_present,url_dom_prefix,url_subdom_count,url_redirect,url_exe_present,dom_age,dom_reg,dns_record,web_traffic,page_ranking,google_index,label
thecoolerzone.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
en.academic.ru,0,0,0,6,0,5,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
xj45o.mjt.lu,1,0,0,9,0,19,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
carlosdev.wordpress.com,0,0,0,4,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
mtcc.unmuha.ac.id,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
contractcomplianceservices.com,1,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
abt.com,0,1,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
megachords.com,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
sriexecutive.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
universal_en_ru.academic.ru,0,0,0,8,0,7,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
43-245-61-213.cprapid.com,0,0,0,4,0,10,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
wolfsmuehle.de,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
motorradonline.de,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
nw-securelogin.com,0,0,0,4,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
outlook-owa-login.cechire.com,1,0,0,54,5,53,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1
threebillverify.com,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
